ID,category,name,country,birth_year,dead_or_alive,Died,gender,Major teams
33335,Cricket,Suresh Raina,India,1986,Alive,,Male,"['India,', 'Chennai Super Kings,', 'Gujarat Lions,', 'India Blue,', 'India Under-19s,', ""Indian Board President's XI,"", ""Rajasthan Cricket Association President's XI,"", 'Uttar Pradesh,', 'Uttar Pradesh Under-16s']"
26226,Cricket,Surinder Amarnath,India,1948,Alive,,Male,"['India,', 'Delhi,', 'Gujarat,', 'Punjab']"
30077,Cricket,Surinder Khanna,India,1956,Alive,,Male,"['India,', 'Delhi']"
31808,Cricket,Suru Nayak,India,1954,Alive,,Male,"['India,', 'Mumbai']"
446507,Cricket,Suryakumar Yadav,India,1990,Alive,,Male,"['India Under-23s,', 'Kolkata Knight Riders,', 'Mumbai,', 'Mumbai Indians']"
54255,Cricket,Susan Itticheria,India,1959,Alive,,Female,"['India Women,', 'Tamil Nadu Women']"
31756,Cricket,Sushant Marathe,India,1985,Alive,,Male,"['India Under-19s,', 'Kochi Tuskers Kerala,', 'Mumbai,', 'Mumbai Indians']"
1175457,Cricket,Sushant Mishra,India,2000,Alive,,Male,India B Under-19s
35227,Cricket,Sushil Gourd,India,1978,Alive,,Male,India Blind
597821,Cricket,Sushma Verma,India,1992,Alive,,Female,"['India Blue Women,', 'India Women,', ""Indian Board President's Women XI""]"
597817,Cricket,Swagatika Rath,India,1994,Alive,,Female,India Green Women
26782,Cricket,Swapnil Asnodkar,India,1984,Alive,,Male,"['Goa,', 'Goa Under-19s,', 'India Blue,', 'Rajasthan Royals']"
232292,Cricket,Swapnil Singh,India,1991,Alive,,Male,"['Baroda,', 'Kings XI Punjab,', 'Mumbai Indians']"
34441,Cricket,Sydenham Somers-Cox,India,1895,Dead,"1972, Borrowdale, Salisbury (now Harare), Rhodesia (aged 76 years) ",Male,Europeans (India)
34435,Cricket,Sydney Smith,India,1859,Dead,"April 10, 1940, Kemp Town, Brighton, Sussex, England (aged 80 years 178 days) ",Male,Europeans (India)
26169,Cricket,Syed Abid Ali,India,1941,Alive,,Male,"['India,', 'Hyderabad (India)']"
29309,Cricket,Syed Hussain,India,1909,Dead,"July 2, 1982, Hyderabad, Andhra Pradesh (aged 72 years 206 days) ",Male,"['Hyderabad (India),', 'Madras,', 'Muslims']"
30116,Cricket,Syed Kirmani,India,1949,Alive,,Male,"['India,', 'Karnataka,', 'Mysore,', 'Railways']"
30986,Cricket,Syed Meeraj,India,1973,Alive,,Male,Hyderabad (India)
32978,Cricket,Syed Quadri,India,1981,Alive,,Male,"['Deccan Chargers,', 'Hyderabad (India),', 'Rajasthan Royals']"
